# omega;Arpes occ;Arpes tot
-15;1.74056521466867e-05;1.78426322284112e-05
-14.990625;1.7312275153194e-05;1.77560162515263e-05
-14.98125;1.72139073151377e-05;1.76654265575101e-05
-14.971875;1.71106478812598e-05;1.75707490452717e-05
-14.9625;1.70025870937557e-05;1.74718613426126e-05
-14.953125;1.68898062989564e-05;1.73686344059772e-05
-14.94375;1.67723781840531e-05;1.72609342326988e-05
-14.934375;1.66503671357271e-05;1.71486236740861e-05
-14.925;1.65238297359167e-05;1.70315643502297e-05
-14.915625;1.63928153487727e-05;1.69096186057856e-05
-14.90625;1.62573668394688e-05;1.67826515421857e-05
-14.896875;1.61175213713193e-05;1.6650533054579e-05
-14.8875;1.59733113211656e-05;1.65131399059606e-05
-14.878125;1.58247652469552e-05;1.63703577682646e-05
-14.86875;1.56719089516208e-05;1.62220832477429e-05
-14.859375;1.55147665926961e-05;1.60682258648055e-05
-14.85;1.53533618557993e-05;1.59087099640868e-05
-14.840625;1.51877191416743e-05;1.57434765306543e-05
-14.83125;1.50178648072435e-05;1.55724849246002e-05
-14.821875;1.4843828392295e-05;1.53957144707881e-05
-14.8125;1.46656438677308e-05;1.52131659386537e-05
-14.803125;1.44833508464493e-05;1.5024862845466e-05
-14.79375;1.42969957913866e-05;1.4830852616975e-05
-14.784375;1.4106633169607e-05;1.46312075605773e-05
-14.775;1.39123265558488e-05;1.44260256490055e-05
-14.765625;1.37141496797744e-05;1.42154311169566e-05
-14.75625;1.35121873947663e-05;1.39995748459874e-05
-14.746875;1.33065365606955e-05;1.37786345417093e-05
-14.7375;1.30973068314054e-05;1.35528146954877e-05
-14.728125;1.28846213387694e-05;1.33223463296164e-05
-14.71875;1.26686172685481e-05;1.30874865313941e-05
-14.709375;1.24494463095496e-05;1.28485177641089e-05
-14.7;1.22272749756406e-05;1.26057469674074e-05
-14.690625;1.20022848113927e-05;1.23595044593582e-05
-14.68125;1.17746724407946e-05;1.21101426214587e-05
-14.671875;1.15446494989926e-05;1.18580344133645e-05
-14.6625;1.13124424067068e-05;1.16035716884247e-05
-14.653125;1.1078292023424e-05;1.13471633512237e-05
-14.64375;1.08424531454712e-05;1.10892333588209e-05
