# omega;Arpes occ;Arpes tot
-15;2.3686413493497e-08;2.6785800970604e-07
-14.990625;2.25768904330978e-08;2.87159947049952e-07
-14.98125;2.35393324674192e-08;3.08508658666651e-07
-14.971875;2.65715452134792e-08;3.31725702372569e-07
-14.9625;3.16538397871065e-08;3.5661692598066e-07
-14.953125;3.87491820627206e-08;3.8297410187162e-07
-14.94375;4.78034872950586e-08;4.10576674074237e-07
-14.934375;5.8746055925077e-08;4.39193609030306e-07
-14.925;7.14901677417942e-08;4.68585350562539e-07
-14.915625;8.59337890548541e-08;4.98505821545704e-07
-14.90625;1.01960434334438e-07;5.28704508232958e-07
-14.896875;1.19440130114655e-07;5.58928557925817e-07
-14.8875;1.38230520471509e-07;5.88924922229557e-07
-14.878125;1.58178050064787e-07;6.18442480328644e-07
-14.86875;1.79119267934546e-07;6.47234157611006e-07
-14.859375;2.00882201871216e-07;6.7505901423333e-07
-14.85;2.23287822209067e-07;7.01684278848513e-07
-14.840625;2.46151543500901e-07;7.26887306675401e-07
-14.83125;2.69284804628917e-07;7.50457472540814e-07
-14.821875;2.92496658923625e-07;7.72197940423034e-07
-14.8125;3.15595408305674e-07;7.91927342188974e-07
-14.803125;3.38390222669484e-07;8.09481301518577e-07
-14.79375;3.60692777745473e-07;8.24713837522737e-07
-14.784375;3.82318858315486e-07;8.37498602665001e-07
-14.775;4.03089929851155e-07;8.47729954607409e-07
-14.765625;4.22834670445495e-07;8.55323863509349e-07
-14.75625;4.41390439405051e-07;8.60218630803912e-07
-14.746875;4.58604673065762e-07;8.62375422281115e-07
-14.7375;4.74336196277569e-07;8.61778608002229e-07
-14.728125;4.88456439968828e-07;8.58435907231437e-07
-14.71875;5.00850556477445e-07;8.52378341971914e-07
-14.709375;5.11418413459712e-07;8.43659987313962e-07
-14.7;5.2007546179017e-07;8.32357528556975e-07
-14.690625;5.26753487254294e-07;8.18569636504425e-07
-14.68125;5.31401201576795e-07;8.02416140416808e-07
-14.671875;5.33984711463832e-07;7.84037043131815e-07
-14.6625;5.34487821387784e-07;7.63591347571086e-07
-14.653125;5.32912205291817e-07;7.4125573402982e-07
-14.64375;5.29277408517155e-07;7.17223086025302e-07
-14.634375;5.23620707883568e-07;6.91700868672329e-07
-14.625;5.15996818574225e-07;6.6490940375089e-07
-14.615625;5.06477453401834e-07;6.37080013565051e-07
-14.60625;4.95150728496773e-07;6.08453085506506e-07
-14.596875;4.82120443220809e-07;5.79276055001779e-07
-14.5875;4.67505209775005e-07;5.49801322147573e-07
-14.578125;4.51437469832804e-07;5.20284138227296e-07
-14.56875;4.34062376332528e-07;4.90980452230977e-07
-14.559375;4.1553658221475e-07;4.62144760174737e-07
-14.55;3.96026918309083e-07;4.34027961031715e-07
-14.540625;3.75708982239332e-07;4.0687523892252e-07
-14.53125;3.54765658745796e-07;3.80924000505857e-07
-14.521875;3.3338556919597e-07;3.56401867286856e-07
-14.5125;3.11761471460873e-07;3.33524752979462e-07
-14.503125;2.90088623018823e-07;3.12495037305187e-07
-14.49375;2.68563117066709e-07;2.93499850789392e-07
-14.484375;2.47380216676028e-07;2.76709491638234e-07
-14.475;2.26732685805548e-07;2.62275975769371e-07
-14.465625;2.06809138788264e-07;2.50331745223406e-07
-14.45625;1.87792431965755e-07;2.4098853591114e-07
-14.446875;1.69858089115507e-07;2.34336422555661e-07
-14.4375;1.53172798422726e-07;2.30443041457614e-07
-14.428125;1.37892973448116e-07;2.29353007324864e-07
-14.41875;1.24163403168119e-07;2.31087508796232e-07
-14.409375;1.12116003050835e-07;2.35644124777291e-07
-14.4;1.01868661509295e-07;2.4299681063098e-07
-14.390625;9.35242207387471e-08;2.5309611068357e-07
-14.38125;8.7169566245748e-08;2.65869538570177e-07
-14.371875;8.28748654160784e-08;2.81222183149452e-07
-14.3625;8.06929394778614e-08;2.99037475156345e-07
-14.353125;8.0658781630664e-08;3.19178154238845e-07
-14.34375;8.27892306760867e-08;3.41487400481272e-07
-14.334375;8.70827933052584e-08;3.65790141034079e-07
-14.325;9.35196274976434e-08;3.91894499481556e-07
-14.315625;1.02061676941542e-07;4.1959339694451e-07
-14.30625;1.12652961596248e-07;4.48666276033077e-07
-14.296875;1.25220025418065e-07;4.78880944117944e-07
-14.2875;1.3967252693313e-07;5.09995511144124e-07
-14.278125;1.55903978413669e-07;5.4176041313141e-07
-14.26875;1.73792623676028e-07;5.73920502071002e-07
-14.259375;1.93202443040489e-07;6.0621718125805e-07
-14.25;2.13984286031647e-07;6.38390574207862e-07
-14.240625;2.35977115119631e-07;6.70181703555835e-07
-14.23125;2.59009351518363e-07;7.01334668399662e-07
-14.221875;2.82900313381234e-07;7.31598786738486e-07
-14.2125;3.07461735056642e-07;7.60730711050702e-07
-14.203125;3.32499351167837e-07;7.88496468802395e-07
-14.19375;3.57814537318966e-07;8.14673441139535e-07
-14.184375;3.83205979073893e-07;8.39052221317641e-07
-14.175;4.08471389299113e-07;8.61438404511058e-07
-14.165625;4.33409207041184e-07;8.81654205825399e-07
-14.15625;4.57820322102128e-07;8.99539983763173e-07
-14.146875;4.8150975143928e-07;9.14955567663731e-07
-14.1375;5.04288314005647e-07;9.27781470587134e-07
-14.128125;5.25974232970125e-07;9.37919886086105e-07
-14.11875;5.46394692179566e-07;9.45295531786164e-07
-14.109375;5.65387310630659e-07;9.49856285278571e-07
-14.1;5.82801539143784e-07;9.51573645280495e-07
-14.090625;5.98499949264267e-07;9.50442973651494e-07
-14.08125;6.12359416248851e-07;9.46483550370019e-07
-14.071875;6.24272185213183e-07;9.39738424773308e-07
-14.0625;6.34146803546929e-07;9.30274063523744e-07
-14.053125;6.41908916421253e-07;9.18179801783805e-07
-14.04375;6.47501920225337e-07;9.03567103871926e-07
-14.034375;6.50887466081104e-07;8.86568637076664e-07
-14.025;6.52045806831178e-07;8.67337164449033e-07
-14.015625;6.50975984313901e-07;8.46044265375669e-07
-14.00625;6.47695862796896e-07;8.22878900972974e-07
-13.996875;6.42241999966854e-07;7.98045834621624e-07
-13.9875;6.34669351348554e-07;7.71763903525837e-07
-13.978125;6.25050831596324e-07;7.44264192150973e-07
-13.96875;6.13476708814832e-07;7.15788080479501e-07
-13.959375;6.00053862455934e-07;6.86585222888677e-07
-13.95;5.84904879397684e-07;6.56911427488281e-07
-13.940625;5.6816704514274e-07;6.27026524802329e-07
-13.93125;5.49991174194356e-07;5.97192151482403e-07
-13.921875;5.30540354515567e-07;5.67669562952464e-07
-13.9125;5.09988554202481e-07;5.3871740183814e-07
-13.903125;4.88519168174554e-07;5.1058953398696e-07
-13.89375;4.66323450567145e-07;4.83532881086251e-07
-13.884375;4.43598899119919e-07;4.57785337840199e-07
-13.875;4.20547569770142e-07;4.33573744810519e-07
-13.865625;3.97374364219111e-07;4.11111969472354e-07
-13.85625;3.74285275491241e-07;3.90599077940637e-07
-13.846875;3.51485630250853e-07;3.72217641387074e-07
-13.8375;3.29178335904296e-07;3.56132177353783e-07
-13.828125;3.07562138431808e-07;3.42487738063686e-07
-13.81875;2.86829916266198e-07;3.31408663083396e-07
-13.809375;2.67167023227366e-07;3.22997507470056e-07
-13.8;2.48749692072675e-07;3.17334151886943e-07
-13.790625;2.31743512956712e-07;3.14475101330936e-07
-13.78125;2.16301996772802e-07;3.14452979095379e-07
-13.771875;2.02565245583246e-07;3.17276224315565e-07
-13.7625;1.90658734120072e-07;3.22928995463045e-07
-13.753125;1.80692205728672e-07;3.31371268368553e-07
-13.74375;1.72758714865692e-07;3.42539152683721e-07
-13.734375;1.66933796118102e-07;3.56345394315999e-07
-13.725;1.63274797185042e-07;3.72680094394872e-07
-13.715625;1.61820342585303e-07;3.91411592322131e-07
-13.70625;1.62589988655923e-07;4.12387570274147e-07
-13.696875;1.65584006835262e-07;4.35436294489601e-07
-13.6875;1.70783361289869e-07;4.60368056567556e-07
-13.678125;1.78149822491309e-07;4.86976734762468e-07
-13.66875;1.87626275290401e-07;5.15041529015705e-07
-13.659375;1.9913716307288e-07;5.44328795309449e-07
-13.65;2.12589106216573e-07;5.74594005076559e-07
-13.640625;2.27871664185204e-07;6.05583792098662e-07
-13.63125;2.44858255501461e-07;6.37038083403233e-07
-13.621875;2.63407205457398e-07;6.68692281519834e-07
-13.6125;2.83362932853463e-07;7.00279493328418e-07
-13.603125;3.04557257212439e-07;7.31532780981463e-07
-13.59375;3.26810812516075e-07;7.62187413394966e-07
