# omega;Arpes occ;Arpes tot
-15;2.08836254152849e-08;2.6119037748624e-07
-14.990625;1.74899388228522e-08;2.7847749342912e-07
-14.98125;1.61401875373428e-08;2.97607806833362e-07
-14.971875;1.68500025153119e-08;3.18422199155785e-07
-14.9625;1.96175176925736e-08;3.4074736071436e-07
-14.953125;2.44233665850986e-08;3.64397243877867e-07
-14.94375;3.12308256586474e-08;3.89174617299511e-07
-14.934375;3.99861011962757e-08;4.14872714541378e-07
-14.925;5.0618778216783e-08;4.41276977883939e-07
-14.915625;6.30423874672672e-08;4.68166843240254e-07
-14.90625;7.71551329370088e-08;4.95317603009013e-07
-14.896875;9.28407286833723e-08;5.22502279683063e-07
-14.8875;1.09969386493112e-07;5.49493544503766e-07
-14.878125;1.28398889181371e-07;5.76065616926966e-07
-14.86875;1.47975796289942e-07;6.01996163888971e-07
-14.859375;1.68536730702248e-07;6.27068172507732e-07
-14.85;1.89909767009908e-07;6.51071776130887e-07
-14.840625;2.11915870284469e-07;6.73806012988026e-07
-14.83125;2.34370426570624e-07;6.95080530082865e-07
-14.821875;2.57084796642162e-07;7.1471717607708e-07
-14.8125;2.7986792834725e-07;7.32551516795831e-07
-14.803125;3.02527967723814e-07;7.48434210990619e-07
-14.79375;3.24873903276038e-07;7.62232281953154e-07
-14.784375;3.46717189462929e-07;7.73830240832383e-07
-14.775;3.67873353071515e-07;7.83131062871966e-07
-14.765625;3.88163573124077e-07;7.90057017173781e-07
-14.75625;4.07416211471455e-07;7.94550329593841e-07
-14.746875;4.25468282969602e-07;7.96573678490666e-07
-14.7375;4.4216685391451e-07;7.96110519848401e-07
-14.728125;4.57370357939116e-07;7.93165236714814e-07
-14.71875;4.70949820631673e-07;7.8776311925311e-07
-14.709375;4.82789972199163e-07;7.79950161958812e-07
-14.7;4.92790243360047e-07;7.69792687647635e-07
-14.690625;5.00865652600074e-07;7.5737680978747e-07
-14.68125;5.06947539284603e-07;7.42807710869957e-07
-14.671875;5.10984180418609e-07;7.26208781781413e-07
-14.6625;5.12941245070168e-07;7.0772058908815e-07
-14.653125;5.12802121202695e-07;6.874997090879e-07
