# omega;Arpes occ;Arpes tot
-15;2.03791350927093e-08;2.63968755645922e-07
-14.990625;1.67147441876861e-08;2.80957624298089e-07
-14.98125;1.50903702347466e-08;2.9976371858466e-07
-14.971875;1.55237027430792e-08;3.20230298154793e-07
-14.9625;1.80149397315823e-08;3.4218661916031e-07
-14.953125;2.25467661386237e-08;3.65449364897964e-07
-14.94375;2.90844790802333e-08;3.8982417675171e-07
-14.934375;3.75762568371315e-08;4.15107277178621e-07
-14.925;4.79535901865992e-08;4.41087187567322e-07
-14.915625;6.01318324941422e-08;4.67546486616117e-07
-14.90625;7.40109108425426e-08;4.94263645300549e-07
-14.896875;8.94761474889277e-08;5.21014872841625e-07
-14.8875;1.06399232775879e-07;5.47576007439568e-07
-14.878125;1.24639285190086e-07;5.73724388271862e-07
-14.86875;1.44044044663949e-07;5.99240727020683e-07
-14.859375;1.64451148061033e-07;6.23910953992175e-07
-14.85;1.85689508287705e-07;6.47528018533526e-07
-14.840625;2.07580744575493e-07;6.69893622476829e-07
-14.83125;2.29940706616602e-07;6.9081990081895e-07
-14.821875;2.52581023297486e-07;7.10130992337175e-07
-14.8125;2.7531071164566e-07;7.27664534777882e-07
-14.803125;2.97937786360491e-07;7.43273022223812e-07
-14.79375;3.20270904123144e-07;7.56825059945806e-07
-14.784375;3.42120988764796e-07;7.68206473562209e-07
-14.775;3.63302841124613e-07;7.77321272907922e-07
-14.765625;3.83636723996868e-07;7.84092472571333e-07
-14.75625;4.02949899428129e-07;7.88462746974674e-07
-14.746875;4.2107810715802e-07;7.90394921720191e-07
-14.7375;4.37866972788562e-07;7.89872296292066e-07
-14.728125;4.53173334823776e-07;7.86898794216027e-07
-14.71875;4.66866481807171e-07;7.81498945920981e-07
-14.709375;4.78829278666571e-07;7.73717691507001e-07
-14.7;4.88959177340505e-07;7.63620012855582e-07
-14.690625;4.97169119989893e-07;7.51290406645814e-07
-14.68125;5.0338828848586e-07;7.36832175222138e-07
-14.671875;5.07562738689015e-07;7.20366581461386e-07
