# omega;Arpes occ;Arpes tot
-15;2.06581117704383e-08;2.62633817911566e-07
-14.990625;1.70928853443861e-08;2.79741466240815e-07
-14.98125;1.55686370546502e-08;2.98676840616012e-07
-14.971875;1.61021580792135e-08;3.19282149330739e-07
-14.9625;1.86927443852797e-08;3.4138551573399e-07
-14.953125;2.33221826881848e-08;3.6480241830947e-07
-14.94375;2.9954883482537e-08;3.89337231832109e-07
-14.934375;3.85381577057644e-08;4.14784861156872e-07
-14.925;4.90026555681444e-08;4.40932470511177e-07
-14.915625;6.12629239393338e-08;4.67561252962271e-07
-14.90625;7.52181244248543e-08;4.94448277757143e-07
-14.896875;9.07528616216931e-08;5.21368347766989e-07
-14.8875;1.07738162104296e-07;5.48095902577355e-07
-14.878125;1.26032540552286e-07;5.74406902403808e-07
-14.86875;1.45483198186986e-07;6.00080711199427e-07
-14.859375;1.65927303339807e-07;6.24901954635686e-07
-14.85;1.87193374347249e-07;6.48662331517589e-07
-14.840625;2.09102713965469e-07;6.71162358014126e-07
-14.83125;2.31470936004207e-07;6.92213058625651e-07
-14.821875;2.5410951667466e-07;7.11637546407219e-07
-14.8125;2.76827404965592e-07;7.29272526968546e-07
-14.803125;2.99432633098441e-07;7.44969663935767e-07
-14.79375;3.21733960978799e-07;7.58596841115862e-07
-14.784375;3.43542500888016e-07;7.70039277897055e-07
-14.775;3.64673326044029e-07;7.79200498673944e-07
-14.765625;3.84947053582852e-07;7.8600315754194e-07
-14.75625;4.04191379296266e-07;7.90389696674041e-07
-14.746875;4.22242552627007e-07;7.92322840100642e-07
-14.7375;4.38946781012305e-07;7.91785917481675e-07
-14.728125;4.54161552384097e-07;7.8878301405577e-07
-14.71875;4.67756867119258e-07;7.83338952728684e-07
-14.709375;4.79616358799151e-07;7.75499094470151e-07
-14.7;4.89638298873748e-07;7.65328967281472e-07
-14.690625;4.97736493063127e-07;7.52913734858325e-07
-14.68125;5.03841024248482e-07;7.38357482116669e-07
-14.671875;5.07898879405085e-07;7.21782363858133e-07
-14.6625;5.09874414439653e-07;7.03327581705859e-07
-14.653125;5.09749691724083e-07;6.83148229755566e-07
-14.64375;5.07524648449717e-07;6.61414003515243e-07
-14.634375;5.03217124805209e-07;6.3830777587176e-07
-14.625;4.96862736627681e-07;6.14024082128527e-07
-14.615625;4.88514598943715e-07;5.88767483865163e-07
-14.60625;4.78242891131542e-07;5.62750862510464e-07
-14.596875;4.66134291812355e-07;5.36193638193317e-07
-14.5875;4.52291256192875e-07;5.09319926078694e-07
-14.578125;4.36831173191235e-07;4.82356666331743e-07
-14.56875;4.1988537805305e-07;4.55531713764579e-07
-14.559375;4.01598062322517e-07;4.29071929212843e-07
-14.55;3.82125061289796e-07;4.03201273659879e-07
-14.540625;3.61632540670639e-07;3.78138923180557e-07
-14.53125;3.40295601294152e-07;3.54097431314945e-07
-14.521875;3.18296799706936e-07;3.31280936892843e-07
-14.5125;2.95824604521976e-07;3.09883445196446e-07
-14.503125;2.73071800987219e-07;2.9008719298179e-07
-14.49375;2.50233853758055e-07;2.72061109115315e-07
-14.484375;2.27507252001712e-07;2.55959391160771e-07
-14.475;2.0508783571929e-07;2.41920197461711e-07
-14.465625;1.83169125049059e-07;2.30064478787212e-07
-14.45625;1.61940676515824e-07;2.2049494946906e-07
-14.446875;1.4158645762187e-07;2.13295213596083e-07
-14.4375;1.22283278535816e-07;2.08529049845577e-07
-14.428125;1.04199273293869e-07;2.06239865824491e-07
-14.41875;8.74924571124328e-08;2.06450310212672e-07
-14.409375;7.23093712828569e-08;2.09162082176305e-07
-14.4;5.87838121435899e-08;2.14355888844169e-07
-14.390625;4.70356832949667e-08;2.21991606168912e-07
-14.38125;3.71699470854994e-08;2.32008586170695e-07
-14.371875;2.92757155139721e-08;2.4432616779861e-07
-14.3625;2.34254686857145e-08;2.58844328938764e-07
-14.353125;1.96744117744225e-08;2.75444518544464e-07
-14.34375;1.80599841211631e-08;2.93990635549913e-07
-14.334375;1.86015122902276e-08;3.14330164758355e-07
-14.325;2.13000236395459e-08;3.36295441125085e-07
-14.315625;2.61382097136343e-08;3.5970505087001e-07
-14.30625;3.30805466089826e-08;3.84365343346401e-07
-14.296875;4.20735757112977e-08;4.10072051677816e-07
-14.2875;5.3046330313032e-08;4.36611999197814e-07
-14.278125;6.59109167397549e-08;4.63764885401663e-07
-14.26875;8.0563240223315e-08;4.91305132804574e-07
-14.259375;9.68838660819895e-08;5.19003777244725e-07
-14.25;1.14739017970141e-07;5.4663039139783e-07
-14.240625;1.33981697037657e-07;5.73955019459374e-07
-14.23125;1.54452914753443e-07;6.0075011443456e-07
-14.221875;1.75983030629849e-07;6.26792446001644e-07
-14.2125;1.98393183894379e-07;6.51864989446145e-07
-14.203125;2.21496804180443e-07;6.75758749133819e-07
-14.19375;2.45101193370195e-07;6.9827453179363e-07
-14.184375;2.69009150921555e-07;7.19224613228741e-07
-14.175;2.93020663031482e-07;7.38434350868621e-07
-14.165625;3.1693458917218e-07;7.55743641221984e-07
-14.15625;3.40550389978497e-07;7.71008300697577e-07
-14.146875;3.63669823420965e-07;7.84101270189503e-07
-14.1375;3.86098654523126e-07;7.94913723715437e-07
-14.128125;4.07648308398044e-07;8.03355983755744e-07
-14.11875;4.28137492223625e-07;8.09358303931515e-07
-14.109375;4.47393750175781e-07;8.1287146742908e-07
-14.1;4.6525495383901e-07;8.13867231783067e-07
-14.090625;4.81570698573712e-07;8.12338579116397e-07
-14.08125;4.96203605504066e-07;8.08299800746672e-07
-14.071875;5.09030517987019e-07;8.01786401107613e-07
-14.0625;5.19943574893554e-07;7.9285482020158e-07
