# omega;Arpes occ;Arpes tot
-15;3.44295777510821e-08;2.6966576032522e-07
-14.990625;3.21274857852968e-08;2.8799839863182e-07
-14.98125;3.18929874541137e-08;3.08261199232987e-07
-14.971875;3.37357164071245e-08;3.30288176034254e-07
-14.9625;3.76477598653539e-08;3.53898587476178e-07
-14.953125;4.36037063614939e-08;3.78898452949863e-07
-14.94375;5.15608399896501e-08;4.05082174711583e-07
-14.934375;6.14594778755328e-08;4.32234257042462e-07
-14.925;7.32234685094256e-08;4.60131124483537e-07
-14.915625;8.67608067805504e-08;4.88542982401717e-07
-14.90625;1.0196440786005e-07;5.17235758263151e-07
-14.896875;1.18712988074898e-07;5.45973053520588e-07
-14.8875;1.36872093800992e-07;5.74518141809352e-07
-14.878125;1.56295213637583e-07;6.02635947270173e-07
-14.86875;1.76825018926532e-07;6.30095021087037e-07
-14.859375;1.98294682330386e-07;6.56669490604432e-07
-14.85;2.20529293745526e-07;6.82140959217126e-07
-14.840625;2.4334732285002e-07;7.06300335087618e-07
-14.83125;2.66562168832351e-07;7.28949602768819e-07
-14.821875;2.89983729259948e-07;7.49903478676861e-07
-14.8125;3.13420022430718e-07;7.68990984688812e-07
-14.803125;3.36678804171456e-07;7.86056877442241e-07
-14.79375;3.59569212855451e-07;8.00962966595958e-07
-14.784375;3.8190338900066e-07;8.13589279887629e-07
-14.775;4.03498072808021e-07;8.2383507391223e-07
-14.765625;4.24176170828114e-07;8.31619692563262e-07
-14.75625;4.43768268513235e-07;8.36883250320921e-07
-14.746875;4.62114078015744e-07;8.39587142673205e-07
-14.7375;4.79063810161292e-07;8.39714377490256e-07
-14.728125;4.94479459651338e-07;8.37269724385043e-07
-14.71875;5.08235995298737e-07;8.32279686725633e-07
-14.709375;5.202224350825e-07;8.24792283391854e-07
-14.7;5.30342800984201e-07;8.14876651088857e-07
-14.690625;5.38516962533296e-07;8.0262247733371e-07
-14.68125;5.44681323832513e-07;7.88139242753724e-07
-14.671875;5.48789392155437e-07;7.71555318655203e-07
-14.6625;5.5081218265526e-07;7.53016885768981e-07
-14.653125;5.50738494155648e-07;7.3268671493753e-07
-14.64375;5.48575015140297e-07;7.10742804965162e-07
-14.634375;5.44346288946565e-07;6.87376882048652e-07
-14.625;5.38094523889272e-07;6.62792803131361e-07
-14.615625;5.2987925474056e-07;6.37204834243178e-07
-14.60625;5.19776847330696e-07;6.10835855012786e-07
-14.596875;5.07879874404342e-07;5.83915485389033e-07
-14.5875;4.94296336565528e-07;5.5667814883037e-07
-14.578125;4.79148765413672e-07;5.29361106995927e-07
-14.56875;4.62573185686067e-07;5.02202454702565e-07
-14.559375;4.4471797837214e-07;4.75439116902725e-07
-14.55;4.2574262537842e-07;4.49304849487873e-07
-14.540625;4.05816357921382e-07;4.24028263628828e-07
-14.53125;3.85116727817895e-07;3.99830900130796e-07
-14.521875;3.63828099680108e-07;3.76925353033888e-07
-14.5125;3.42140084318916e-07;3.55513471293223e-07
-14.503125;3.20245925990767e-07;3.35784648893621e-07
-14.49375;2.98340853541656e-07;3.17914217210573e-07
-14.484375;2.76620419696129e-07;3.02061958956563e-07
-14.475;2.55278827585795e-07;2.88370744987551e-07
-14.465625;2.34507266225766e-07;2.76965317997836e-07
-14.45625;2.14492278798216e-07;2.67951223508822e-07
-14.446875;1.95414155019654e-07;2.61413904586609e-07
-14.4375;1.77445386534333e-07;2.57417962881888e-07
-14.428125;1.60749177171443e-07;2.56006598546187e-07
-14.41875;1.45478034502005e-07;2.57201216622822e-07
-14.409375;1.31772454255533e-07;2.61001239724954e-07
-14.4;1.19759693302614e-07;2.67384077499593e-07
-14.390625;1.09552670273232e-07;2.76305308269118e-07
-14.38125;1.0124896922224e-07;2.8769901609826e-07
-14.371875;9.49299867936969e-08;3.01478339469543e-07
-14.3625;9.06602089908587e-08;3.17536169588624e-07
-14.353125;8.84866300884364e-08;3.35746035954967e-07
-14.34375;8.84383248716614e-08;3.55963146886323e-07
-14.334375;9.05261670061605e-08;3.78025592909006e-07
-14.325;9.47427084054104e-08;4.01755685382705e-07
-14.315625;1.01062209053773e-07;4.26961437128295e-07
-14.30625;1.09440823896339e-07;4.53438159117517e-07
-14.296875;1.19816948912203e-07;4.80970169426467e-07
-14.2875;1.32111712476894e-07;5.09332592801998e-07
-14.278125;1.46229618745118e-07;5.38293240423409e-07
-14.26875;1.62059334146626e-07;5.67614554510223e-07
-14.259375;1.79474606073542e-07;5.97055596088492e-07
-14.25;1.98335315127715e-07;6.26374066605371e-07
-14.240625;2.1848864506139e-07;6.5532834003242e-07
-14.23125;2.39770361743367e-07;6.83679496294469e-07
-14.221875;2.62006192697669e-07;7.11193322889903e-07
-14.2125;2.85013295487784e-07;7.37642294487017e-07
-14.203125;3.08601800091737e-07;7.62807483467803e-07
-14.19375;3.32576416716026e-07;7.86480415436016e-07
