# omega;Arpes occ;Arpes tot
-15;7.04785659324189e-07;9.0554592271739e-07
-14.990625;7.44729661044336e-07;9.65869799894737e-07
-14.98125;7.88772371906512e-07;1.03047328330755e-06
-14.971875;8.36974938766201e-07;1.09924055710533e-06
-14.9625;8.89382875727537e-07;1.17204032109642e-06
-14.953125;9.46026307417573e-07;1.248727537228e-06
-14.94375;1.00692034715108e-06;1.32914529272866e-06
-14.934375;1.07206560506833e-06;1.41312676809606e-06
-14.925;1.1414488410706e-06;1.50049730972031e-06
-14.915625;1.21504371620134e-06;1.59107654664602e-06
-14.90625;1.29281168276806e-06;1.68468058617522e-06
-14.896875;1.37470295893728e-06;1.78112421626039e-06
-14.8875;1.46065762712725e-06;1.88022314640906e-06
-14.878125;1.550606789892e-06;1.98179621741324e-06
-14.86875;1.64447382636471e-06;2.08566759553863e-06
-14.859375;1.74217569816828e-06;2.19166892217016e-06
-14.85;1.84362432207148e-06;2.29964139340935e-06
-14.840625;1.94872795883314e-06;2.40943774647092e-06
-14.83125;2.05739265702852e-06;2.52092416238853e-06
-14.821875;2.16952368361311e-06;2.63398202436615e-06
-14.8125;2.28502697559824e-06;2.748509564178e-06
-14.803125;2.4038105533355e-06;2.8644233302193e-06
-14.79375;2.52578592949865e-06;2.98165951160132e-06
-14.784375;2.65086946058413e-06;3.10017507135295e-06
-14.775;2.77898364499045e-06;3.21994868820039e-06
-14.765625;2.91005835977374e-06;3.34098150757663e-06
-14.75625;3.04403201359457e-06;3.46329767755046e-06
-14.746875;3.18085260743317e-06;3.58694467273163e-06
-14.7375;3.32047869276491e-06;3.71199339884836e-06
-14.728125;3.46288021824102e-06;3.83853807515421e-06
-14.71875;3.60803925929569e-06;3.96669590137086e-06
-14.709375;3.75595061150755e-06;4.09660649525981e-06
-14.7;3.90662224621093e-06;4.22843111363205e-06
-14.690625;4.06007563875221e-06;4.36235166891907e-06
-14.68125;4.21634592791767e-06;4.49856952127307e-06
-14.671875;4.37548194605012e-06;4.6373040936401e-06
-14.6625;4.53754607874448e-06;4.77879127953948e-06
-14.653125;4.70261399009864e-06;4.92328168523586e-06
-14.64375;4.87077417851169e-06;5.07103870686942e-06
-14.634375;5.04212739152565e-06;5.2223364469865e-06
-14.625;5.21678589179086e-06;5.37745751891258e-06
-14.615625;5.39487258092812e-06;5.53669071173207e-06
-14.60625;5.57651997871235e-06;5.70032857210304e-06
-14.596875;5.76186908583308e-06;5.86866490165719e-06
-14.5875;5.95106810970277e-06;6.04199218873158e-06
-14.578125;6.14427109092066e-06;6.22059901322184e-06
-14.56875;6.34163641213122e-06;6.40476741775897e-06
-14.559375;6.54332523161525e-06;6.59477029048903e-06
-14.55;6.74949982643705e-06;6.79086876563528e-06
-14.540625;6.96032186880122e-06;6.99330966532006e-06
-14.53125;7.17595065693435e-06;7.20232301331437e-06
-14.521875;7.39654130043382e-06;7.41811962330765e-06
-14.5125;7.62224288249351e-06;7.64088879511293e-06
-14.503125;7.85319661293704e-06;7.87079613133367e-06
-14.49375;8.08953398299948e-06;8.10798149281567e-06
-14.484375;8.33137494785663e-06;8.35255711482462e-06
-14.475;8.5788261365958e-06;8.60460588802833e-06
-14.465625;8.83197911186437e-06;8.86417983150499e-06
-14.45625;9.09090870305403e-06;9.13129875964697e-06
-14.446875;9.35567140570686e-06;9.40594916243211e-06
-14.4375;9.62630388414294e-06;9.68808330238959e-06
-14.428125;9.90282157074886e-06;9.97761854406804e-06
-14.41875;1.01852173856026e-05;1.02744369014498e-05
-14.409375;1.04734605899865e-05;1.05783848481804e-05
-14.4;1.07674957653598e-05;1.08892733380636e-05
-14.390625;1.10672419586617e-05;1.12068780927131e-05
-14.38125;1.13725919649208e-05;1.15309400992947e-05
