# omega;Arpes occ;Arpes tot
-15;5.35614098166899e-08;2.67009398265803e-07
-14.990625;5.40126152998563e-08;2.87921975428063e-07
-14.98125;5.65362935074676e-08;3.10991170285324e-07
-14.971875;6.11197095506411e-08;3.36027180489456e-07
-14.9625;6.77326425814535e-08;3.62823662710297e-07
-14.953125;7.63276196169384e-08;3.91159464306326e-07
-14.94375;8.68402935172216e-08;4.20800474363511e-07
-14.934375;9.91899610632052e-08;4.51501583511315e-07
-14.925;1.13280236947491e-07;4.83008752411315e-07
-14.915625;1.28999837969331e-07;5.1506113013876e-07
-14.90625;1.46223518223753e-07;5.47393257884441e-07
-14.896875;1.64813102264286e-07;5.79737286999109e-07
-14.8875;1.84618655554428e-07;6.11825243665308e-07
-14.878125;2.05479726715092e-07;6.4339127237013e-07
-14.86875;2.27226705110886e-07;6.74173873470648e-07
-14.859375;2.49682242858665e-07;7.03918107756768e-07
-14.85;2.7266275935962e-07;7.32377743092181e-07
-14.840625;2.95979977215035e-07;7.59317320102516e-07
-14.83125;3.19442529048884e-07;7.8451414810602e-07
-14.821875;3.42857566960956e-07;8.07760170604809e-07
-14.8125;3.66032408745521e-07;8.28863733475777e-07
-14.803125;3.88776161236732e-07;8.47651189920748e-07
-14.79375;4.10901354696802e-07;8.63968376921416e-07
-14.784375;4.32225535018434e-07;8.77681916759181e-07
-14.775;4.5257281647051e-07;8.88680342726273e-07
-14.765625;4.71775387672154e-07;8.96875050341773e-07
-14.75625;4.89674947077457e-07;9.02201049500123e-07
-14.746875;5.06124058582401e-07;9.04617519991138e-07
-14.7375;5.20987416788421e-07;9.04108163803169e-07
-14.728125;5.34143011786738e-07;9.00681350018348e-07
-14.71875;5.45483186507389e-07;8.94370058999583e-07
-14.709375;5.54915567302855e-07;8.85231611404158e-07
-14.7;5.62363864339504e-07;8.73347193814868e-07
-14.690625;5.67768551373843e-07;8.58821192284597e-07
-14.68125;5.71087382146746e-07;8.41780313174905e-07
-14.671875;5.72295781687925e-07;8.22372537451117e-07
-14.6625;5.71387069867246e-07;8.0076587665016e-07
-14.653125;5.68372552279026e-07;7.77146971927716e-07
-14.64375;5.63281441189271e-07;7.51719534134024e-07
-14.634375;5.56160634655469e-07;7.24702628961732e-07
-14.625;5.47074343544224e-07;6.96328853868635e-07
-14.615625;5.36103572526666e-07;6.66842377760998e-07
-14.60625;5.23345450101824e-07;6.36496898002248e-07
-14.596875;5.08912435677553e-07;6.05553512458307e-07
-14.5875;4.92931380438906e-07;5.74278522704586e-07
-14.578125;4.7554247930112e-07;5.42941206364158e-07
-14.56875;4.56898093475402e-07;5.11811549419851e-07
-14.559375;4.37161485275402e-07;4.81157982145789e-07
-14.55;4.1650544821352e-07;4.51245123387031e-07
-14.540625;3.95110855105403e-07;4.22331554900137e-07
-14.53125;3.73165144038781e-07;3.94667653617076e-07
-14.521875;3.5086074145422e-07;3.68493485319714e-07
-14.5125;3.28393443063915e-07;3.44036787863428e-07
-14.503125;3.05960766015628e-07;3.21511058872402e-07
-14.49375;2.83760282328869e-07;3.01113760989854e-07
-14.484375;2.61987958451485e-07;2.83024668319404e-07
-14.475;2.40836500262461e-07;2.67404354724808e-07
-14.465625;2.20493724791272e-07;2.54392850621761e-07
-14.45625;2.01140982159438e-07;2.44108469016624e-07
-14.446875;1.82951619860785e-07;2.36646819476019e-07
-14.4375;1.66089526113034e-07;2.32080011503764e-07
-14.428125;1.50707745241512e-07;2.30456063143052e-07
-14.41875;1.36947188873637e-07;2.31798499504277e-07
-14.409375;1.24935456025546e-07;2.3610618476017e-07
-14.4;1.1478575422178e-07;2.43353334848421e-07
-14.390625;1.06595961692194e-07;2.53489768973007e-07
-14.38125;1.00447803298342e-07;2.66441339666598e-07
-14.371875;9.64061809499152e-08;2.82110600561502e-07
-14.3625;9.45186413303778e-08;3.00377644966128e-07
-14.353125;9.48149938309252e-08;3.21101156000246e-07
-14.34375;9.73070869335149e-08;3.44119630833869e-07
-14.334375;1.01988735607597e-07;3.69252789437296e-07
-14.325;1.08835811780771e-07;3.96303134872371e-07
-14.315625;1.17806486511535e-07;4.25057673109354e-07
-14.30625;1.28841628986134e-07;4.55289763420234e-07
-14.296875;1.41865362115222e-07;4.86761093659306e-07
-14.2875;1.56785760014653e-07;5.19223756206414e-07
-14.278125;1.73495692425158e-07;5.52422413825175e-07
-14.26875;1.9187380545602e-07;5.86096535700023e-07
-14.259375;2.11785626622488e-07;6.19982681310976e-07
-14.25;2.33084793932793e-07;6.53816819817962e-07
-14.240625;2.55614392187268e-07;6.87336659509047e-07
-14.23125;2.7920838686933e-07;7.20283976413819e-07
-14.221875;3.03693145181497e-07;7.52406905228645e-07
-14.2125;3.2888903327837e-07;7.83462202520061e-07
-14.203125;3.54612072010099e-07;8.13217430581729e-07
-14.19375;3.8067564406198e-07;8.41453076244502e-07
-14.184375;4.06892222389069e-07;8.67964543624232e-07
-14.175;4.33075141524388e-07;8.92564073353545e-07
-14.165625;4.59040343233703e-07;9.15082482964144e-07
-14.15625;4.84608141783218e-07;9.3537080562476e-07
-14.146875;5.09604934583722e-07;9.5330172560091e-07
-14.1375;5.33864904766588e-07;9.68770890216454e-07
-14.128125;5.57231645049538e-07;9.81697997184214e-07
-14.11875;5.79559729716389e-07;9.92027720008245e-07
-14.109375;6.0071619901479e-07;9.99730415697621e-07
-14.1;6.20581960214811e-07;1.00480264847213e-06
-14.090625;6.39053075970355e-07;1.00726748441367e-06
-14.08125;6.56041941816981e-07;1.00717458937735e-06
-14.071875;6.71478343056271e-07;1.00460011340639e-06
-14.0625;6.85310373892864e-07;9.99646362218785e-07
-14.053125;6.97505216569133e-07;9.92441262627722e-07
-14.04375;7.08049775793697e-07;9.83137627981147e-07
-14.034375;7.16951161066448e-07;9.71912228393992e-07
-14.025;7.24237011226823e-07;9.58964671588201e-07
-14.015625;7.29955657973286e-07;9.44516103125644e-07
-14.00625;7.34176135541312e-07;9.28807745174739e-07
-13.996875;7.3698802801371e-07;9.12099282846339e-07
-13.9875;7.38501150811226e-07;8.94667095799998e-07
-13.978125;7.38845090573025e-07;8.76802387126289e-07
-13.96875;7.38168579584699e-07;8.5880918088028e-07
-13.959375;7.36638736613316e-07;8.41002247829421e-07
-13.95;7.34440148107542e-07;8.23704928056833e-07
-13.940625;7.31773848204821e-07;8.0724694014072e-07
-13.93125;7.288561410942e-07;7.91962104523478e-07
-13.921875;7.2591734160817e-07;7.78186094366456e-07
-13.9125;7.23200381604748e-07;7.66254142054511e-07
-13.903125;7.20959361054727e-07;7.56498814486319e-07
-13.89375;7.19457988928563e-07;7.49247785381573e-07
-13.884375;7.1896798037967e-07;7.44821694709923e-07
-13.875;7.19767388598286e-07;7.43532065276622e-07
-13.865625;7.22138913579232e-07;7.45679331545833e-07
-13.85625;7.26368173063912e-07;7.5155096143157e-07
-13.846875;7.32741973928364e-07;7.61419716986492e-07
-13.8375;7.41546591463147e-07;7.75542053780828e-07
-13.828125;7.53066062500988e-07;7.94156671583142e-07
-13.81875;7.67580517033089e-07;8.17483233334678e-07
-13.809375;7.85364560390116e-07;8.4572126413912e-07
-13.8;8.06685717511829e-07;8.79049236302208e-07
-13.790625;8.31802952271092e-07;9.17623847153525e-07
-13.78125;8.60965271543767e-07;9.61579495660903e-07
-13.771875;8.94410434898019e-07;1.01102796599703e-06
-13.7625;9.32363773497411e-07;1.06605832047042e-06
-13.753125;9.75037120164638e-07;1.12673698862926e-06
