Wp;Wpolar+;Wpolar-;Dist(W+ + W-);2W+;2W-;
3,8;4,658622845;0,858622845;-9,64224569;-13,44224569;-5,84224569;1,9
3,85;4,700900755;0,850900755;-9,676801509;-13,52680151;-5,826801509;1,925
3,9;4,743295545;0,843295545;-9,711591089;-13,61159109;-5,811591089;1,95
3,95;4,785805045;0,835805045;-9,74661009;-13,69661009;-5,79661009;1,975
4;4,828427125;0,828427125;-9,781854249;-13,78185425;-5,781854249;2
4,05;4,871159693;0,821159693;-9,817319387;-13,86731939;-5,767319387;2,025
4,1;4,914000698;0,814000698;-9,853001397;-13,9530014;-5,753001397;2,05
4,15;4,956948126;0,806948126;-9,888896252;-14,03889625;-5,738896252;2,075
4,2;5;0,8;-9,925;-14,125;-5,725;2,1
4,25;5,043154382;0,793154382;-9,961308765;-14,21130876;-5,711308765;2,125
4,3;5,086409372;0,786409372;-9,997818744;-14,29781874;-5,697818744;2,15
4,35;5,129763104;0,779763104;-10,03452621;-14,38452621;-5,684526208;2,175
4,4;5,173213749;0,773213749;-10,0714275;-14,4714275;-5,671427499;2,2
4,45;5,216759516;0,766759516;-10,10851903;-14,55851903;-5,658519031;2,225
4,5;5,260398645;0,760398645;-10,14579729;-14,64579729;-5,645797289;2,25
4,55;5,304129413;0,754129413;-10,18325883;-14,73325883;-5,633258826;2,275
4,6;5,347950131;0,747950131;-10,22090026;-14,82090026;-5,620900262;2,3
4,65;5,391859143;0,741859143;-10,25871829;-14,90871829;-5,608718285;2,325
4,7;5,435854825;0,735854825;-10,29670965;-14,99670965;-5,59670965;2,35
4,75;5,479935587;0,729935587;-10,33487117;-15,08487117;-5,584871174;2,375
4,8;5,52409987;0,72409987;-10,37319974;-15,17319974;-5,573199741;2,4
4,85;5,568346147;0,718346147;-10,41169229;-15,26169229;-5,561692294;2,425
4,9;5,61267292;0,71267292;-10,45034584;-15,35034584;-5,55034584;2,45
4,95;5,657078723;0,707078723;-10,48915745;-15,43915745;-5,539157446;2,475
5;5,701562119;0,701562119;-10,52812424;-15,52812424;-5,528124237;2,5
5,05;5,746121699;0,696121699;-10,5672434;-15,6172434;-5,517243398;2,525
5,1;5,790756085;0,690756085;-10,60651217;-15,70651217;-5,506512169;2,55
5,15;5,835463924;0,685463924;-10,64592785;-15,79592785;-5,495927848;2,575
5,2;5,880243893;0,680243893;-10,68548779;-15,88548779;-5,485487787;2,6
5,25;5,925094696;0,675094696;-10,72518939;-15,97518939;-5,475189391;2,625
5,3;5,97001506;0,67001506;-10,76503012;-16,06503012;-5,46503012;2,65
5,35;6,015003743;0,665003743;-10,80500749;-16,15500749;-5,455007485;2,675
5,4;6,060059523;0,660059523;-10,84511905;-16,24511905;-5,445119047;2,7
5,45;6,105181208;0,655181208;-10,88536242;-16,33536242;-5,435362416;2,725
5,5;6,150367627;0,650367627;-10,92573525;-16,42573525;-5,425735254;2,75
5,55;6,195617634;0,645617634;-10,96623527;-16,51623527;-5,416235269;2,775
5,6;6,240930107;0,640930107;-11,00686021;-16,60686021;-5,406860214;2,8
5,65;6,286303945;0,636303945;-11,04760789;-16,69760789;-5,39760789;2,825
5,7;6,331738072;0,631738072;-11,08847614;-16,78847614;-5,388476143;2,85
5,75;6,377231432;0,627231432;-11,12946286;-16,87946286;-5,379462863;2,875
5,8;6,422782991;0,622782991;-11,17056598;-16,97056598;-5,370565982;2,9
5,85;6,468391737;0,618391737;-11,21178347;-17,06178347;-5,361783473;2,925
5,9;6,514056677;0,614056677;-11,25311335;-17,15311335;-5,353113355;2,95
5,95;6,559776841;0,609776841;-11,29455368;-17,24455368;-5,344553682;2,975
6;6,605551275;0,605551275;-11,33610255;-17,33610255;-5,336102551;3
