Wp;Wpolar+;Wpolar-;Dist(W+ + W-);2W+;2W-;
3,8;4,658622845;0,858622845;-7,64537069;-11,44537069;-3,84537069;1,9
3,85;4,700900755;0,850900755;-7,679926509;-11,52992651;-3,829926509;1,925
3,9;4,743295545;0,843295545;-7,714716089;-11,61471609;-3,814716089;1,95
3,95;4,785805045;0,835805045;-7,74973509;-11,69973509;-3,79973509;1,975
4;4,828427125;0,828427125;-7,784979249;-11,78497925;-3,784979249;2
4,05;4,871159693;0,821159693;-7,820444387;-11,87044439;-3,770444387;2,025
4,1;4,914000698;0,814000698;-7,856126397;-11,9561264;-3,756126397;2,05
4,15;4,956948126;0,806948126;-7,892021252;-12,04202125;-3,742021252;2,075
4,2;5;0,8;-7,928125;-12,128125;-3,728125;2,1
4,25;5,043154382;0,793154382;-7,964433765;-12,21443376;-3,714433765;2,125
4,3;5,086409372;0,786409372;-8,000943744;-12,30094374;-3,700943744;2,15
4,35;5,129763104;0,779763104;-8,037651208;-12,38765121;-3,687651208;2,175
4,4;5,173213749;0,773213749;-8,074552499;-12,4745525;-3,674552499;2,2
4,45;5,216759516;0,766759516;-8,111644031;-12,56164403;-3,661644031;2,225
4,5;5,260398645;0,760398645;-8,148922289;-12,64892229;-3,648922289;2,25
4,55;5,304129413;0,754129413;-8,186383826;-12,73638383;-3,636383826;2,275
4,6;5,347950131;0,747950131;-8,224025262;-12,82402526;-3,624025262;2,3
4,65;5,391859143;0,741859143;-8,261843285;-12,91184329;-3,611843285;2,325
4,7;5,435854825;0,735854825;-8,29983465;-12,99983465;-3,59983465;2,35
4,75;5,479935587;0,729935587;-8,337996174;-13,08799617;-3,587996174;2,375
4,8;5,52409987;0,72409987;-8,376324741;-13,17632474;-3,576324741;2,4
4,85;5,568346147;0,718346147;-8,414817294;-13,26481729;-3,564817294;2,425
4,9;5,61267292;0,71267292;-8,45347084;-13,35347084;-3,55347084;2,45
4,95;5,657078723;0,707078723;-8,492282446;-13,44228245;-3,542282446;2,475
5;5,701562119;0,701562119;-8,531249237;-13,53124924;-3,531249237;2,5
5,05;5,746121699;0,696121699;-8,570368398;-13,6203684;-3,520368398;2,525
5,1;5,790756085;0,690756085;-8,609637169;-13,70963717;-3,509637169;2,55
5,15;5,835463924;0,685463924;-8,649052848;-13,79905285;-3,499052848;2,575
5,2;5,880243893;0,680243893;-8,688612787;-13,88861279;-3,488612787;2,6
5,25;5,925094696;0,675094696;-8,728314391;-13,97831439;-3,478314391;2,625
5,3;5,97001506;0,67001506;-8,76815512;-14,06815512;-3,46815512;2,65
5,35;6,015003743;0,665003743;-8,808132485;-14,15813249;-3,458132485;2,675
5,4;6,060059523;0,660059523;-8,848244047;-14,24824405;-3,448244047;2,7
5,45;6,105181208;0,655181208;-8,888487416;-14,33848742;-3,438487416;2,725
5,5;6,150367627;0,650367627;-8,928860254;-14,42886025;-3,428860254;2,75
5,55;6,195617634;0,645617634;-8,969360269;-14,51936027;-3,419360269;2,775
5,6;6,240930107;0,640930107;-9,009985214;-14,60998521;-3,409985214;2,8
5,65;6,286303945;0,636303945;-9,05073289;-14,70073289;-3,40073289;2,825
5,7;6,331738072;0,631738072;-9,091601143;-14,79160114;-3,391601143;2,85
5,75;6,377231432;0,627231432;-9,132587863;-14,88258786;-3,382587863;2,875
5,8;6,422782991;0,622782991;-9,173690982;-14,97369098;-3,373690982;2,9
