# omega;Arpes occ;Arpes tot
-15;4.37288785826169e-07;6.1239874545179e-07
-14.990625;4.47572711539003e-07;6.00740227386029e-07
-14.98125;4.56078977011126e-07;5.88185780102209e-07
-14.971875;4.62736109990914e-07;5.74841787964197e-07
-14.9625;4.67488371221089e-07;5.60821274541365e-07
-14.953125;4.70296255850453e-07;5.46242978916988e-07
-14.94375;4.71136848184161e-07;5.3123037222753e-07
-14.934375;4.70004036798831e-07;5.15910634283095e-07
-14.925;4.66908600611093e-07;5.00413625783794e-07
-14.915625;4.61878130780007e-07;4.8487080246069e-07
-14.90625;4.54956828855539e-07;4.69414144310597e-07
-14.896875;4.46205147251728e-07;4.54175057217254e-07
-14.8875;4.3569930747094e-07;4.39283305746041e-07
-14.878125;4.2353066959211e-07;4.24865934848394e-07
-14.86875;4.09804979664691e-07;4.11046227087337e-07
-14.859375;3.94641493789812e-07;3.97942689484491e-07
-14.85;3.78171985072233e-07;3.85668078525303e-07
-14.840625;3.6053963949606e-07;3.7432846593596e-07
-14.83125;3.41897862886601e-07;3.64022377118346e-07
-14.821875;3.22408987467695e-07;3.54839969930205e-07
-14.8125;3.02242913276896e-07;3.46862302334084e-07
-14.803125;2.81575669456574e-07;3.40160653679361e-07
-14.79375;2.60587937004549e-07;3.34795951227423e-07
-14.784375;2.39463520187104e-07;3.30818266455889e-07
-14.775;2.18387787827606e-07;3.28266395867718e-07
-14.765625;1.97546108042374e-07;3.27167551278468e-07
-14.75625;1.77122274616539e-07;3.27537135273327e-07
-14.746875;1.57296945776021e-07;3.29378614863295e-07
-14.7375;1.38246107619978e-07;3.32683493977609e-07
-14.728125;1.20139574270344e-07;3.37431383960069e-07
-14.71875;1.03139543686997e-07;3.43590180235212e-07
-14.709375;8.73992085999319e-08;3.51116321597116e-07
-14.7;7.30614443856908e-08;3.59955150604361e-07
-14.690625;6.02575880653562e-08;3.70041373107299e-07
-14.68125;4.91063064684326e-08;3.81299591672458e-07
-14.671875;3.97125747421094e-08;3.93644933831837e-07
-14.6625;3.21667688690815e-08;4.06983751502846e-07
-14.653125;2.65438764212034e-08;4.21214391692e-07
-14.64375;2.29028491376201e-08;4.36228049488454e-07
-14.634375;2.12860735251042e-08;4.51909648796435e-07
-14.625;2.17189990946355e-08;4.68138814627895e-07
-14.615625;2.42098914122716e-08;4.84790847597803e-07
-14.60625;2.87497500286067e-08;5.01737770946688e-07
-14.596875;3.53123573413745e-08;5.18849381221725e-07
-14.5875;4.38544824912755e-08;5.35994325189253e-07
-14.578125;5.43162241738021e-08;5.53041187360024e-07
-14.56875;6.6621500745364e-08;5.6985957642295e-07
-14.559375;8.0678674952005e-08;5.86321203691248e-07
-14.55;9.63813127017954e-08;6.02300945689339e-07
-14.540625;1.13609067439517e-07;6.17677876211753e-07
-14.53125;1.32228684009578e-07;6.32336270324908e-07
-14.521875;1.52095114846546e-07;6.461665610205e-07
-14.5125;1.73052735777223e-07;6.59066246489818e-07
-14.503125;1.94936654779771e-07;6.70940739477092e-07
-14.49375;2.17574099340738e-07;6.81704150162809e-07
-14.484375;2.40785873546586e-07;6.91280000002902e-07
-14.475;2.64387872758231e-07;6.99601853430973e-07
-14.465625;2.88192639665271e-07;7.06613873833633e-07
-14.45625;3.12010950223394e-07;7.12271281040364e-07
-14.446875;3.35653420466992e-07;7.16540729279773e-07
-14.4375;3.58932113312766e-07;7.19400582455345e-07
-14.428125;3.81662139478431e-07;7.20841102180016e-07
-14.41875;4.03663219543137e-07;7.20864513361404e-07
-14.409375;4.24761239676276e-07;7.19485014439584e-07
-14.4;4.44789717526257e-07;7.16728635353521e-07
-14.390625;4.63591244457234e-07;7.12633049934994e-07
-14.38125;4.81018813179384e-07;7.07247239104861e-07
