# omega;Arpes occ;Arpes tot
-15;1.96812166802927e-05;2.04108902102256e-05
-14.990625;1.95028385237111e-05;2.01833387023765e-05
-14.98125;1.93158920768952e-05;1.99492039357402e-05
-14.971875;1.91205539723845e-05;1.97087780627981e-05
-14.9625;1.89170244475354e-05;1.94623719460839e-05
-14.953125;1.87055272260909e-05;1.92103136273283e-05
-14.94375;1.8486309229838e-05;1.89529466871245e-05
-14.934375;1.82596401304266e-05;1.86906285185261e-05
-14.925;1.80258117563186e-05;1.84237285546231e-05
-14.915625;1.77851373195656e-05;1.81526263981622e-05
-14.90625;1.75379505093311e-05;1.78777099323141e-05
-14.896875;1.72846044186533e-05;1.75993733734162e-05
-14.8875;1.7025470344327e-05;1.73180153282842e-05
-14.878125;1.67609364370699e-05;1.70340368201518e-05
-14.86875;1.64914062298157e-05;1.67478393326117e-05
-14.859375;1.62172970490052e-05;1.64598228725464e-05
-14.85;1.59390383150385e-05;1.61703840636607e-05
-14.840625;1.56570697441011e-05;1.58799142805899e-05
-14.83125;1.5371839474341e-05;1.55887978577323e-05
-14.821875;1.50838021088286e-05;1.52974103486039e-05
-14.8125;1.47934167133289e-05;1.50061168860592e-05
-14.803125;1.45011447563707e-05;1.47152706156611e-05
-14.79375;1.4207448036283e-05;1.44252112570825e-05
-14.784375;1.39127865842003e-05;1.41362637629877e-05
-14.775;1.36176165663942e-05;1.3848737094464e-05
-14.765625;1.33223882127175e-05;1.35629231426572e-05
-14.75625;1.30275437695405e-05;1.32790957751513e-05
-14.746875;1.27335155007839e-05;1.29975100245206e-05
-14.7375;1.24407237500337e-05;1.27184014229743e-05
-14.728125;1.21495750773269e-05;1.24419854849169e-05
-14.71875;1.18604604903452e-05;1.21684573478674e-05
-14.709375;1.15737537698613e-05;1.18979915517691e-05
-14.7;1.1289809912252e-05;1.16307419749936e-05
-14.690625;1.10089637025728e-05;1.13668419283661e-05
-14.68125;1.07315284177615e-05;1.11064043827117e-05
-14.671875;1.04577946784403e-05;1.08495223494863e-05
-14.6625;1.0188029454912e-05;1.05962693944833e-05
-14.653125;9.92247522835614e-06;1.03467002810037e-05
-14.64375;9.6613493331248e-06;1.01008517560998e-05
-14.634375;9.40484345050938e-06;9.85874342166613e-06
-14.625;9.15312329719683e-06;9.62037875433241e-06
-14.615625;8.9063284688375e-06;9.38574618253879e-06
-14.60625;8.66457248290278e-06;9.15482028934437e-06
